specimen_id,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,volume_pbs,volume_per_aliquot
1,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,1000,200
2,inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1000,200
3,inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1000,200
4,inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,1000,200
5,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,NA,4,1000,200
6,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,NA,4,1000,200
7,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,NA,4,1000,200
8,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,NA,4,1000,200
9,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,NA,4,1000,200
10,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,NA,4,1000,200
11,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,NA,4,1000,200
12,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,NA,4,1000,200
13,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,500,200
14,inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,850,200
15,inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,850,200
16,inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,850,200
17,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,NA,4,1000,200
18,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,NA,4,1000,200
19,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,NA,4,1000,200
20,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,NA,4,1000,200
21,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,NA,4,1000,200
22,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,NA,4,1000,200
23,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,NA,4,1000,200
24,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,NA,4,1000,200
25,inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,450,200
26,inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,850,200
